Central,mod 3,mod 5,num matrices,num 3x3,num primos 3x3,num primos 5x5,repes 3x3 y 5x5
337,1,2,62,33,33,33,33
397,1,2,312,33,33,33,33
499,1,4,308,33,33,33,33
251,2,1,10,33,33,33,33
257,2,2,9,33,33,33,33
293,2,3,1,33,33,33,33
347,2,2,2533,33,33,33,33
401,2,1,67,33,33,33,33
281,2,1,13,33,33,33,33
367,1,2,44,33,33,33,33
311,2,1,262,33,33,33,33
409,1,4,290,33,33,33,33
449,2,4,3320,33,33,33,33
443,2,3,200,33,33,33,33
467,2,2,8373,33,33,33,33
461,2,1,2858,33,33,33,33
463,1,3,1239,33,33,33,33
307,1,2,63,33,33,33,33
263,2,3,9,33,33,33,33
421,1,1,447,33,33,33,33
383,2,3,184,33,33,33,33
487,1,2,53,33,33,33,33
389,2,4,51,33,33,33,33
269,2,4,12,33,33,33,33
349,1,4,3,33,33,33,33
379,1,4,39,33,33,33,33
353,2,3,4196,33,33,33,33
373,1,3,448,33,33,33,33
479,2,4,26923,33,33,33,33
491,2,1,409,33,33,33,33
419,2,4,371,33,33,33,33
359,2,4,45,33,33,33,33
431,2,1,127,33,33,33,33
